x,z_upper,z_lower,delta
0.000000000000000000e+00,3.030999999999999840e-03,3.030999999999999840e-03,nan
2.341137123745819226e-02,7.707822828905340484e-02,-6.301331738790318104e-02,1.247539022285288615e-03
4.682274247491638453e-02,1.119423489946407835e-01,-8.439817660438295177e-02,1.764286604905525736e-03
7.023411371237457679e-02,1.395869559074174315e-01,-9.899140037831022365e-02,2.160800971022921839e-03
9.364548494983276905e-02,1.632741314554688461e-01,-1.102494343698079970e-01,2.495078044570577230e-03
1.170568561872909613e-01,1.844621728964673801e-01,-1.192612655389334031e-01,2.789582058413529742e-03
1.404682274247491536e-01,2.037046864856785211e-01,-1.269046399724687024e-01,3.055834038809569168e-03
1.638795986622073597e-01,2.214178815388669341e-01,-1.335473094851053755e-01,3.300678003815539496e-03
1.872909698996655381e-01,2.379555838459002370e-01,-1.393021512055689359e-01,3.528573209811051471e-03
2.107023411371237165e-01,2.536353564473900479e-01,-1.444321814684212946e-01,3.742617066855865628e-03
2.341137123745819226e-01,2.679518479561364686e-01,-1.491912339323225867e-01,3.945064780361069896e-03
2.575250836120401288e-01,2.817499423511898859e-01,-1.534841248358854437e-01,4.137618848247126210e-03
2.809364548494983072e-01,2.947412235002995762e-01,-1.574729198798847929e-01,4.321601942045843678e-03
3.043478260869564855e-01,3.070611891390613302e-01,-1.612198292878876948e-01,4.498065912991820042e-03
3.277591973244147194e-01,3.187834644482931967e-01,-1.647449083677219039e-01,4.667863598022490429e-03
3.511705685618728978e-01,3.299952785185278903e-01,-1.680498753913776677e-01,4.831697857054805846e-03
3.745819397993310762e-01,3.405000392749180649e-01,-1.713390847593126987e-01,4.990156089141154459e-03
3.979933110367892546e-01,3.509398030399645818e-01,-1.743098774664573192e-01,5.143735160962029269e-03
4.214046822742474330e-01,3.602770230860325440e-01,-1.772806701736019674e-01,5.292859814716578508e-03
4.448160535117056669e-01,3.696142431321005617e-01,-1.802257108733592295e-01,5.437896526265109838e-03
4.682274247491638453e-01,3.784598087605471894e-01,-1.829599884181947189e-01,5.579164116827059483e-03
4.916387959866220236e-01,3.866872194631692516e-01,-1.856942659630302084e-01,5.716942002033535697e-03
5.150501672240802575e-01,3.949146301657913138e-01,-1.884285435078656978e-01,5.851476691121630831e-03
5.384615384615384359e-01,4.025135357890864962e-01,-1.910724591850206378e-01,5.982986969638515347e-03
5.618729096989966143e-01,4.096852245091393008e-01,-1.936632407345431073e-01,6.111668077619138335e-03
5.852842809364547927e-01,4.168569132291921053e-01,-1.962540222840655491e-01,6.237695111426441556e-03
6.086956521739129711e-01,4.235025540317981507e-01,-1.988448038335880186e-01,6.361225818601150273e-03
6.321070234113711495e-01,4.296844615611609131e-01,-2.013910994110005015e-01,6.482402913068763782e-03
6.555183946488294389e-01,4.358663690905236754e-01,-2.039104540394802434e-01,6.601356007631078993e-03
6.789297658862876172e-01,4.417975602855895856e-01,-2.064298086679600130e-01,6.718203238337724405e-03
7.023411371237457956e-01,4.470559578426638869e-01,-2.089491632964397549e-01,6.833052638735926179e-03
7.257525083612039740e-01,4.523143553997381883e-01,-2.114623283067733617e-01,6.946003309519837784e-03
7.491638795986621524e-01,4.575727529568124896e-01,-2.139488204398528326e-01,7.057146419622102942e-03
7.725752508361203308e-01,4.621189113619417754e-01,-2.164353125729322758e-01,7.166566067518641801e-03
7.959866220735785092e-01,4.665222614486685404e-01,-2.189218047060117467e-01,7.274340025887855894e-03
8.193979933110366876e-01,4.709256115353953609e-01,-2.214082968390911899e-01,7.380540388369855910e-03
8.428093645484948659e-01,4.751505700020612344e-01,-2.238820851007246870e-01,7.485234133711731255e-03
8.662207357859531554e-01,4.787753763479324909e-01,-2.263420279236753041e-01,7.588483619841828072e-03
8.896321070234113337e-01,4.824001826938037474e-01,-2.288019707466258934e-01,7.690347018225659852e-03
9.130434782608695121e-01,4.860249890396750039e-01,-2.312619135695764827e-01,7.790878697095521277e-03
9.364548494983276905e-01,4.893187469060988337e-01,-2.337218563925270720e-01,7.890129560722139793e-03
9.598662207357858689e-01,4.922380088700356593e-01,-2.361523875533183547e-01,7.988147350738208571e-03
9.832775919732440473e-01,4.951572708339725404e-01,-2.385660345971802043e-01,8.084976914576220974e-03
1.006688963210702337e+00,4.980765327979094215e-01,-2.409796816410420539e-01,8.180660445303604075e-03
1.030100334448160515e+00,5.006463671515101188e-01,-2.433933286849038757e-01,8.275237696494252421e-03
1.053511705685618693e+00,5.029397400428572418e-01,-2.458069757287657253e-01,8.368746175240590959e-03
1.076923076923076872e+00,5.052331129342043647e-01,-2.481546456624946217e-01,8.461221315964294332e-03
1.100334448160535050e+00,5.075264858255514877e-01,-2.504814925972490558e-01,8.552696637309958536e-03
1.123745819397993229e+00,5.095498941596365849e-01,-2.528083395320035454e-01,8.643203884091687356e-03
1.147157190635451407e+00,5.113020031797533838e-01,-2.551351864667579794e-01,8.732773155997020087e-03
1.170568561872909585e+00,5.130541121998701826e-01,-2.574620334015124690e-01,8.821433024527629979e-03
1.193979933110367764e+00,5.148062212199869814e-01,-2.596654532019550543e-01,8.909210639464711090e-03
1.217391304347825942e+00,5.164258422157960160e-01,-2.618567587169212119e-01,8.996131825983640085e-03
1.240802675585284121e+00,5.177239717051891343e-01,-2.640480642318873694e-01,9.082221173402477837e-03
1.264214046822742299e+00,5.190221011945823637e-01,-2.662393697468535270e-01,9.167502116428706202e-03
1.287625418060200477e+00,5.203202306839755931e-01,-2.684085170269307485e-01,9.251997009664959457e-03
1.311036789297658878e+00,5.216183601733688224e-01,-2.704029829319744560e-01,9.335727196044980858e-03
1.334448160535117056e+00,5.225777962592723647e-01,-2.723974488370181635e-01,3.273828569719645226e-02
1.357859531772575234e+00,5.235156868147792242e-01,-2.743919147420618709e-01,3.322997790645838834e-02
1.381270903010033413e+00,5.244535773702859727e-01,-2.763863806471055784e-01,3.372046047726361823e-02
1.404682274247491591e+00,5.253914679257927212e-01,-2.782884381994137346e-01,3.420975681477919639e-02
1.428093645484949770e+00,5.262045601085170166e-01,-2.800314117445196760e-01,3.469788948915270704e-02
1.451505016722407948e+00,5.268679229595002456e-01,-2.817743852896256729e-01,3.518488027849151628e-02
