x,delta_upper,delta_lower
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.811244979919678630e-02,1.253799446565851457e-03,1.253799446565851457e-03
5.622489959839357260e-02,1.773140181829307776e-03,1.773140181829307776e-03
8.433734939759035543e-02,2.171644343953794184e-03,2.171644343953794184e-03
1.124497991967871452e-01,2.507598893131702915e-03,2.507598893131702915e-03
1.405622489959839350e-01,2.803580792672858736e-03,2.803580792672858736e-03
1.686746987951807109e-01,3.071168883870278171e-03,3.071168883870278171e-03
1.967871485943775145e-01,3.317241529563659270e-03,3.317241529563659270e-03
2.248995983935742904e-01,3.546280363658615552e-03,3.546280363658615552e-03
2.530120481927710663e-01,3.761398339697553939e-03,3.761398339697553939e-03
2.811244979919678699e-01,3.964861980206669384e-03,3.964861980206669384e-03
3.092369477911646736e-01,4.158382326614184013e-03,4.158382326614184013e-03
3.373493975903614217e-01,4.343288687907588368e-03,4.343288687907588368e-03
3.654618473895582254e-01,4.520638193741549279e-03,4.520638193741549279e-03
3.935742971887550290e-01,4.691287960776197898e-03,4.691287960776197898e-03
4.216867469879517771e-01,4.855944376033619232e-03,4.855944376033619232e-03
4.497991967871485808e-01,5.015197786263405830e-03,5.015197786263405830e-03
4.779116465863453844e-01,5.169547551531971166e-03,5.169547551531971166e-03
5.060240963855421326e-01,5.319420545487923112e-03,5.319420545487923112e-03
5.341365461847389362e-01,5.465185083047770925e-03,5.465185083047770925e-03
5.622489959839357399e-01,5.607161585345717472e-03,5.607161585345717472e-03
5.903614457831325435e-01,5.745630870181754613e-03,5.745630870181754613e-03
6.184738955823293471e-01,5.880840683830363888e-03,5.880840683830363888e-03
6.465863453815260398e-01,6.013010909752551127e-03,6.013010909752551127e-03
6.746987951807228434e-01,6.142337767740556342e-03,6.142337767740556342e-03
7.028112449799196471e-01,6.268997232829256853e-03,6.268997232829256853e-03
7.309236947791164507e-01,6.393147844171110684e-03,6.393147844171110684e-03
7.590361445783132543e-01,6.514933031861382118e-03,6.514933031861382118e-03
7.871485943775100580e-01,6.634483059127318540e-03,6.634483059127318540e-03
8.152610441767067506e-01,6.751916654851140495e-03,6.751916654851140495e-03
8.433734939759035543e-01,6.867342394716100321e-03,6.867342394716100321e-03
8.714859437751003579e-01,6.980859876725351888e-03,6.980859876725351888e-03
8.995983935742971616e-01,7.092560727317231105e-03,7.092560727317231105e-03
9.277108433734939652e-01,7.202529466992242668e-03,7.202529466992242668e-03
9.558232931726907688e-01,7.310844258709139551e-03,7.310844258709139551e-03
9.839357429718875725e-01,7.417577557889720383e-03,7.417577557889720383e-03
1.012048192771084265e+00,7.522796679395107877e-03,7.522796679395107877e-03
1.040160642570281180e+00,7.626564294079406399e-03,7.626564294079406399e-03
1.068273092369477872e+00,7.728938865325287420e-03,7.728938865325287420e-03
1.096385542168674565e+00,7.829975034196761177e-03,7.829975034196761177e-03
1.124497991967871480e+00,7.929723960413338768e-03,7.929723960413338768e-03
1.152610441767068172e+00,2.817041414498177437e-02,2.817041414498177437e-02
1.180722891566265087e+00,2.875832606630976396e-02,2.875832606630976396e-02
1.208835341365461780e+00,2.934424148243097025e-02,2.934424148243097025e-02
1.236947791164658694e+00,2.992821337821006608e-02,2.992821337821006608e-02
1.265060240963855387e+00,3.051029216160046006e-02,3.051029216160046006e-02
1.293172690763052080e+00,3.109052584339265513e-02,3.109052584339265513e-02
1.321285140562248994e+00,3.166896020079285057e-02,3.166896020079285057e-02
1.349397590361445687e+00,3.224563892659921410e-02,3.224563892659921410e-02
1.377510040160642601e+00,3.282060376551729913e-02,3.282060376551729913e-02
1.405622489959839294e+00,3.339389463896307725e-02,3.339389463896307725e-02
1.433734939759036209e+00,3.396554975953646610e-02,3.396554975953646610e-02
1.461847389558232901e+00,3.453560573620594043e-02,3.453560573620594043e-02
1.489959839357429594e+00,3.510409767112196433e-02,3.510409767112196433e-02
1.518072289156626509e+00,3.567105924887079005e-02,3.567105924887079005e-02
1.546184738955823201e+00,3.623652281888779109e-02,3.623652281888779109e-02
1.574297188755020116e+00,3.680051947166951970e-02,3.680051947166951970e-02
1.602409638554216809e+00,3.736307910935313809e-02,3.736307910935313809e-02
1.630522088353413501e+00,3.792423051117133070e-02,3.792423051117133070e-02
1.658634538152610416e+00,3.848400139423634875e-02,3.848400139423634875e-02
1.686746987951807109e+00,3.904241847006012511e-02,3.904241847006012511e-02
1.714859437751004023e+00,3.959950749717552898e-02,3.959950749717552898e-02
1.742971887550200716e+00,4.015529333018725416e-02,4.015529333018725416e-02
1.771084337349397630e+00,4.070979996554813934e-02,4.070979996554813934e-02
1.799196787148594323e+00,4.126305058432803291e-02,4.126305058432803291e-02
1.827309236947791016e+00,4.181506759221673142e-02,4.181506759221673142e-02
1.855421686746987930e+00,4.236587265697949745e-02,4.236587265697949745e-02
1.883534136546184623e+00,4.291548674356367166e-02,4.291548674356367166e-02
1.911646586345381538e+00,4.346393014703633234e-02,4.346393014703633234e-02
1.939759036144578230e+00,4.401122252351705871e-02,4.401122252351705871e-02
1.967871485943775145e+00,4.455738291925503969e-02,4.455738291925503969e-02
1.995983935742971838e+00,4.510242979798672475e-02,4.510242979798672475e-02
2.024096385542168530e+00,4.564638106669859086e-02,4.564638106669859086e-02
2.052208835341365223e+00,4.618925409990862208e-02,4.618925409990862208e-02
2.080321285140562360e+00,4.673106576257105016e-02,4.673106576257105016e-02
2.108433734939759052e+00,4.727183243169971738e-02,4.727183243169971738e-02
2.136546184738955745e+00,4.781157001679808838e-02,4.781157001679808838e-02
2.164658634538152437e+00,4.835029397917636751e-02,4.835029397917636751e-02
2.192771084337349130e+00,4.888801935023017603e-02,4.888801935023017603e-02
2.220883534136546267e+00,4.942476074874915110e-02,4.942476074874915110e-02
2.248995983935742959e+00,4.996053239731847867e-02,4.996053239731847867e-02
2.277108433734939652e+00,5.049534813787183440e-02,5.049534813787183440e-02
2.305220883534136345e+00,5.102922144644935626e-02,5.102922144644935626e-02
2.333333333333333481e+00,5.156216544721061584e-02,5.156216544721061584e-02
2.361445783132530174e+00,5.209419292574860028e-02,5.209419292574860028e-02
2.389558232931726867e+00,5.262531634174760775e-02,5.262531634174760775e-02
2.417670682730923559e+00,5.315554784102462238e-02,5.315554784102462238e-02
2.445783132530120252e+00,5.368489926699104159e-02,5.368489926699104159e-02
2.473895582329317389e+00,5.421338217156899258e-02,5.421338217156899258e-02
2.502008032128514081e+00,5.474100782559406658e-02,5.474100782559406658e-02
2.530120481927710774e+00,5.526778722873424560e-02,5.526778722873424560e-02
2.558232931726907466e+00,5.579373111895241655e-02,5.579373111895241655e-02
2.586345381526104159e+00,5.631884998153856292e-02,5.631884998153856292e-02
2.614457831325301296e+00,5.684315405773536500e-02,5.684315405773536500e-02
2.642570281124497988e+00,5.736665335297986418e-02,5.736665335297986418e-02
2.670682730923694681e+00,5.788935764478213286e-02,5.788935764478213286e-02
2.698795180722891374e+00,5.841127649026062185e-02,5.841127649026062185e-02
2.726907630522088066e+00,5.893241923335248295e-02,5.893241923335248295e-02
2.755020080321285203e+00,5.945279501171620712e-02,5.945279501171620712e-02
2.783132530120481896e+00,5.997241276334250304e-02,5.997241276334250304e-02
2.811244979919678588e+00,6.049128123288893127e-02,6.049128123288893127e-02
2.839357429718875281e+00,6.100940897775206095e-02,6.100940897775206095e-02
2.867469879518072418e+00,6.152680437389084628e-02,6.152680437389084628e-02
2.895582329317269110e+00,6.204347562141353939e-02,6.204347562141353939e-02
2.923694779116465803e+00,6.255943074994008146e-02,6.255943074994008146e-02
2.951807228915662495e+00,6.307467762375101872e-02,6.307467762375101872e-02
2.979919678714859188e+00,6.358922394673331702e-02,6.358922394673331702e-02
3.008032128514056325e+00,6.410307726713310172e-02,6.410307726713310172e-02
3.036144578313253017e+00,6.461624498212434342e-02,6.461624498212434342e-02
3.064257028112449710e+00,6.512873434220253777e-02,6.512873434220253777e-02
3.092369477911646403e+00,6.564055245541144945e-02,6.564055245541144945e-02
3.120481927710843095e+00,6.615170629141065017e-02,6.615170629141065017e-02
3.148594377510040232e+00,6.666220268539152505e-02,6.666220268539152505e-02
3.176706827309236925e+00,6.717204834184831164e-02,6.717204834184831164e-02
3.204819277108433617e+00,6.768124983821109664e-02,6.768124983821109664e-02
3.232931726907630310e+00,6.818981362834684867e-02,6.818981362834684867e-02
3.261044176706827002e+00,6.869774604593430201e-02,6.869774604593430201e-02
3.289156626506024139e+00,6.920505330771850594e-02,6.920505330771850594e-02
3.317269076305220832e+00,6.971174151665007757e-02,6.971174151665007757e-02
3.345381526104417524e+00,7.021781666491441753e-02,7.021781666491441753e-02
3.373493975903614217e+00,7.072328463685537137e-02,7.072328463685537137e-02
3.401606425702811354e+00,7.122815121179817965e-02,7.122815121179817965e-02
