x,Cp,dpdx,favorable,adverse
1.000000000000000082e-05,-4.900979999999999670e+00,-1.925466666666668516e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000131e-04,-5.189799999999999969e+00,-1.497122591822589129e+03,1.000000000000000000e+00,0.000000000000000000e+00
5.299999999999999807e-04,-5.352800000000000225e+00,-3.091243880904494290e+02,1.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000092e-03,-5.412609999999999921e+00,-4.664079835082475256e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.910000000000000022e-03,-5.387599999999999945e+00,5.212126046168077664e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.919999999999999853e-03,-5.308360000000000412e+00,8.302125085428838247e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.170000000000000095e-03,-5.197519999999999918e+00,8.834399823641820149e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.660000000000000100e-03,-5.066469999999999807e+00,8.407484853891105558e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000328e-03,-4.928060000000000329e+00,7.446715927750369701e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.429999999999999147e-03,-4.788920000000000066e+00,6.413518491380864361e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.176999999999999921e-02,-4.650730000000000253e+00,5.478068783068783887e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.447000000000000022e-02,-4.516140000000000043e+00,4.593351487919733245e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.757999999999999841e-02,-4.387310000000000265e+00,3.827557424152428212e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.116000000000000172e-02,-4.263259999999999827e+00,3.192877267549937415e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.528000000000000039e-02,-4.144619999999999749e+00,2.648135236790540148e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.003000000000000114e-02,-4.031509999999999927e+00,2.169791670217097135e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.547999999999999765e-02,-3.926480000000000192e+00,1.682977468832780232e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.170999999999999708e-02,-3.839020000000000099e+00,2.312901283296551469e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.877000000000000085e-02,-3.603000000000000203e+00,2.476260261763044923e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.666999999999999815e-02,-3.483999999999999986e+00,1.382570230144784773e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.540999999999999592e-02,-3.375129999999999963e+00,1.255928458578057416e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.492999999999999661e-02,-3.254500000000000171e+00,1.286712260425099430e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.518000000000000571e-02,-3.120449999999999946e+00,1.316249365870586985e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.607999999999999874e-02,-2.975999999999999979e+00,1.325350475810587625e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.075799999999999951e-01,-2.823570000000000135e+00,1.320574242756785566e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.196300000000000002e-01,-2.665059999999999985e+00,1.298666902538548129e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.322099999999999942e-01,-2.503890000000000171e+00,1.260973808707267096e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.452900000000000025e-01,-2.341699999999999893e+00,1.209420422605752776e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.588700000000000112e-01,-2.181770000000000209e+00,1.139951142852136456e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.729400000000000104e-01,-2.026879999999999793e+00,1.054042775227951267e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.874899999999999900e-01,-1.880560000000000009e+00,9.446936068519200091e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.024900000000000033e-01,-1.748280000000000056e+00,8.024462243782707560e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.178400000000000059e-01,-1.637580000000000036e+00,6.708259640189467632e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.334299999999999986e-01,-1.540969999999999951e+00,5.827657015589892353e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.491800000000000126e-01,-1.455060000000000020e+00,5.197405521470322753e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.650500000000000078e-01,-1.376689999999999969e+00,4.711933776892294645e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.810099999999999820e-01,-1.305120000000000058e+00,4.304961618900740916e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.970499999999999807e-01,-1.238960000000000061e+00,3.971740572391723845e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.131599999999999939e-01,-1.177450000000000108e+00,3.686055696275772675e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.293300000000000116e-01,-1.119990000000000041e+00,3.442695078803254205e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.455599999999999783e-01,-1.065919999999999979e+00,3.231630713206655514e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.618299999999999850e-01,-1.014969999999999928e+00,3.045637810185258587e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.781399999999999761e-01,-9.667000000000000037e-01,2.880170143793520765e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.944900000000000073e-01,-9.209100000000000064e-01,2.734431913649146395e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.108800000000000230e-01,-8.771799999999999597e-01,2.597203812303717996e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.273000000000000131e-01,-8.356999999999999984e-01,2.477120374855758200e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.437499999999999778e-01,-7.957600000000000229e-01,2.376953034325484992e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.602299999999999724e-01,-7.574300000000000477e-01,2.283556481136049143e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.767299999999999871e-01,-7.204500000000000348e-01,2.189644577585319496e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.932500000000000218e-01,-6.851300000000000168e-01,2.107417562596996419e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.097899999999999654e-01,-6.507800000000000251e-01,2.036906225304349505e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.263499999999999845e-01,-6.177099999999999813e-01,1.969556355921525892e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.429300000000000237e-01,-5.855099999999999749e-01,1.911986808071834076e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.595200000000000173e-01,-5.542899999999999494e-01,1.861771201741250437e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.761300000000000310e-01,-5.237000000000000544e-01,1.802227573750750267e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.927400000000000446e-01,-4.944200000000000261e-01,1.765940855292114975e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.093699999999999672e-01,-4.650000000000000244e-01,1.735718580877934514e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.260000000000000009e-01,-4.366900000000000226e-01,1.683016034552689888e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.426500000000000545e-01,-4.089900000000000202e-01,1.665165165165166883e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.592999999999999972e-01,-3.812400000000000233e-01,1.645345345345344157e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.759500000000000508e-01,-3.542000000000000148e-01,1.612012012012014495e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.925999999999999934e-01,-3.275600000000000178e-01,1.604620461213608351e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.092600000000000016e-01,-3.007500000000000173e-01,1.596338535414163928e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.259200000000000097e-01,-2.743700000000000028e-01,1.589135654261704111e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.425800000000000178e-01,-2.477999999999999925e-01,1.588235294117646745e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.592400000000000260e-01,-2.214500000000000079e-01,1.590636254501799129e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.759000000000000341e-01,-1.948000000000000009e-01,1.600120372484139075e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.925499999999999767e-01,-1.681499999999999939e-01,1.613104536005090850e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.091899999999999649e-01,-1.411000000000000032e-01,1.628605769230770051e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.258299999999999530e-01,-1.139499999999999957e-01,1.648041133525419255e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.424599999999999866e-01,-8.626999999999999946e-02,1.671789799731949300e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.590700000000000003e-01,-5.838000000000000134e-02,1.686666255728471064e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.756500000000000394e-01,-3.029000000000000095e-02,1.700282645203236465e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.921999999999999931e-01,-2.050000000000000173e-03,1.708889940913608907e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.086600000000000232e-01,2.612000000000000086e-02,1.700960660706100969e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.249500000000000499e-01,5.365999999999999936e-02,1.676299289274194138e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.409100000000000241e-01,8.018999999999999739e-02,1.629249009717457231e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.562399999999999789e-01,1.046799999999999953e-01,1.556968355397351012e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.704700000000000548e-01,1.262999999999999956e-01,1.465517301026311614e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.831100000000000394e-01,1.442199999999999871e-01,1.359754372544359491e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.938700000000000312e-01,1.583199999999999885e-01,1.226976830393651241e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.655500000000000027e-01,1.179445350734102949e+00,0.000000000000000000e+00,1.000000000000000000e+00
